???N ADI ;YER?;A«IKLAMA
DO?ALGAZ TES?SATI;ANKARA / «ANKAYA / BEYSUKENT;BAGEL? MANYAK VE ETMANYAK KOMPLE DO?ALGAZ TES?SATI
DO?ALGAZ TES?SATI;ANKARA / «ANKAYA / BE?TEPE;CUMHURBA?KANLI?I DO?ALGAZ TES?SATI REV?ZYONU 
DO?ALGAZ TES?SATI;?« ANADOLU;T‹M KFC VE P?ZZA HUT DO?ALGAZ TES?SATLARI ?MALATLARI
DO?ALGAZ TES?SATI;ANKARA / G÷LBA?I / KARAGED?K;T‹RKSAT HABERLE?ME A.?. KAZAN DA?RES? DO?ALGAZ TES?SATI
DO?ALGAZ TES?SATI;ANKARA / TEMELL? ;ANKA WALL PROSES ÷ZEL DO?ALGAZ ?MALATI KOMPLE
DO?ALGAZ TES?SATI;ANKARA / AKYURT;MAN FABR?KA BOYA FIRINI DO?ALGAZ ?« TES?SATI ??LER?
DO?ALGAZ TES?SATI;ANKARA / G÷LBA?I;?A?MAZ ?N?AAT APART OF?SLER VE APART KOMPLE DO?ALGAZ TES?SATI
DO?ALGAZ TES?SATI;ANKARA / «ANKAYA;ANKA REZERVE DO?ALGAZ KAZAN DA?RES? VE KOLON TES?SATI
DO?ALGAZ TES?SATI;ANKARA / G÷LBA?I;PALTO YAPI 12 DA?RE DO?ALGAZ ?« TES?SAT VE KOLON TES?SATI
DO?ALGAZ TES?SATI;ANKARA / «ANKAYA;K?TA MU RESTAURANT KOMPLE DO?ALGAZ KOLON VE ?« TES?SATI
HAVALANDIRMA TES?SATI;ANKARA / TEMELL? ;MATEKS MAK?NA D÷K‹MHANE EM?? S?STEMLER? KURULUMU
KAZAN DA?RES? D÷N‹?‹M;ANKARA / «ANKAYA /B?RL?K MAH.;75. YIL APARTMANI KAZAN DA?RES? D÷N‹?‹M ???
KAZAN DA?RES? D÷N‹?‹M;ANKARA / «ANKAYA /÷VE«LER;KALIP«I APARTMANI KAZAN DA?RES? D÷N‹?‹M ??? 
KAZAN DA?RES? D÷N‹?‹M;ANKARA / «ANKAYA / D?KMEN;PEMBE K÷?K APARTMANI KAZAN DA?RES? D÷N‹?‹M ???
KAZAN DA?RES? D÷N‹?‹M;ANKARA  / ETMESGUT / ERYAMAN;ADRESS ERYAMAN PROJES? KAZAN DA?RES? D÷N‹?‹M ???
KAZAN DA?RES? D÷N‹?‹M;ANKARA / «ANKAYA / ESAT;«AMLICA APARTMANI KAZAN DA?RES? D÷N‹?‹M ???
KAZAN DA?RES? D÷N‹?‹M;ANKARA / «ANKAYA / EMEK;DEN?Z APARTMANI KAZAN DA?RES? D÷N‹?‹M ???
KAZAN DA?RES? D÷N‹?‹M;ANKARA / «ANKAYA / HO?DERE;FUAR SOKAK NO:11 ERSA APARTMANI KAZAN DA?RES? D÷N‹?‹M ???
KAZAN DA?RES? D÷N‹?‹M;ANKARA / «ANKAYA /D?KMEN ;‹SK‹DAR APARTMANI KAZAN DA?RES? D÷N‹?‹M
KAZAN DA?RES? D÷N‹?‹M;ANKARA / ET?MESGUT / ERYAMAN;?LKSOY 2 S?TES? KAZAN DA?RES? D÷N‹?‹M ??LER?
KAZAN DA?RES? D÷N‹?‹M;ANKARA / «ANKAYA ;ERSA APARTMANI KAZAN DA?RES? D÷N‹?‹M ???
KAZAN DA?RES? D÷N‹?‹M;ANKARA / G÷LBA?I ;MAZZ G÷LBA?I S?TES? KAZAN DA?RES? D÷N‹?‹M ???
KAZAN DA?RES? D÷N‹?‹M;ANKARA / «ANKAYA;BAYKALER APARTMANI KAZAN DA?RES? D÷N‹?‹M ???
KAZAN DA?RES? D÷N‹?‹M;ANKARA / S?NCAN;S?M?T«? D‹NYASI FABR?KA  KAZAN DA?RES? D÷N‹?‹M ???
KAZAN DA?RES? D÷N‹?‹M;ANKARA/ ET?MESGUT;AGE BLOKLARI A2 BLOK KAZAN DA?RES? D÷N‹?‹M ???
KAZAN DA?RES? D÷N‹?‹M;ANKARA/ ET?MESGUT;AGE BLOKLARI A3 BLOK KAZAN DA?RES? D÷N‹?‹M ???
KAZAN DA?RES? D÷N‹?‹M;ANKARA/ ET?MESGUT;AGE BLOKLARI B1 BLOK KAZAN DA?RES? D÷N‹?‹M ???
KAZAN DA?RES? D÷N‹?‹M;ANKARA/ ET?MESGUT;AGE BLOKLARI B2 BLOK KAZAN DA?RES? D÷N‹?‹M ???
KAZAN DA?RES? D÷N‹?‹M;ANKARA/ ET?MESGUT;AGE BLOKLARI D1 BLOK KAZAN DA?RES? D÷N‹?‹M ???
KAZAN DA?RES? D÷N‹?‹M;ANKARA / «ANKAYA ;PINAR APARTMANI KAZAN DA?RES? D÷N‹?‹M ???
KAZAN DA?RES? D÷N‹?‹M;ANKARA / «ANKAYA ;ONUR APARTMANI KAZAN DA?RES? D÷N‹?‹M ???
KAZAN DA?RES? D÷N‹?‹M;ANKARA / «ANKAYA ;ANAHTAR PART? MERKEZ B?NASI KAZAN DA?RES? D÷N‹?‹M ???
KAZAN DA?RES? D÷N‹?‹M;ANKARA / G÷LBA?I ;T‹RKERLER HOLD?NG V?LLA KAZAN DA?RES? D÷N‹?‹M ???
KAZAN DA?RES? D÷N‹?‹M;ANKARA / AKYURT ;AKYURT «?FTL?K EV? KAZAN DA?RES? D÷N‹?‹M ???
KAZAN DA?RES? D÷N‹?‹M;ANKARA / S?NCAN;B‹LB‹LO?LU V?N« SANAY? KAZAN DA?RES? D÷N‹?‹M ???
KAZAN DA?RES? D÷N‹?‹M;ANKARA / «ANKAYA ;AVANOS APARTMANI KAZAN DA?RES? D÷N‹?‹M ??
KAZAN DA?RES? D÷N‹?‹M;ANKARA / «ANKAYA ;CEMAL G‹RSEL CADDES? NO:41 KAZAN DA?RES? D÷N‹?‹M ???
KAZAN DA?RES? D÷N‹?‹M;ANKARA / «ANKAYA ;G‹VENL?K CADDES? NO:22 KAZAN DA?RES? D÷‹?‹M ??
KAZAN DA?RES? D÷N‹?‹M;ANKARA / «ANKAYA ;H‹LYA APARTMANI KAZAN DA?RES? D÷N‹?‹M ??
KAZAN DA?RES? D÷N‹?‹M;ANKARA / «ANKAYA ;B?LKENT PARK 2 S?TESC? C BLOK KAZAN DA?RES? D÷N‹?‹M ???
KAZAN DA?RES? D÷N‹?‹M;ANKARA / «ANKAYA ;EL?T NATURAL ?DAR? OF?S KAZAN DA?RES? REV?ZYON ???
KAZAN DA?RES? KURULUM;ANKARA  / «ANKAYA / BEYSUKENT;EL?T NATUREL F?RMASI ?DAR? OF?S B?NASI KAZAN DA?RES? KURULUMU
KAZAN DA?RES? KURULUM;ANKARA  / «ANKAYA / BEYSUKENT;BEYSUKENT ÷?RENC? YURDU KAZAN DA?RES? KURULUM 
KAZAN DA?RES? KURULUMU;ANKARA / «ANKAYA;BETA 2-10 NOLU V?LLA KAZAN DA?RES? KURULUM ???
KAZAN DA?RES? KURULUMU;ANKARA / G÷LBA?I / ?NCEK;AKMAN APART KAZAN DA?RES? KURULUMU
KAZAN DA?RES? KURULUMU;ANKARA / «ANKAYA;LAV?N 10 NOLU V?LLA KAZAN DA?RES? KURULUM ???
KAZAN DA?RES? KURULUMU;ANKARA / «ANKAYA;LAV?N 8 NOLU V?LLA KAZAN DA?RES? KURULUM ???
KAZAN DA?RES? KURULUMU;ANKARA / «ANKAYA;LAV?N 7 NOLU V?LLA KAZAN DA?RES? KURULUM ???
KAZAN DA?RES? KURULUMU;ANKARA / «ANKAYA;YA?AMKENT 12 ADET APART KAZAN DA?RES? KURULUM ???
KAZAN DA?RES? KURULUMU;KOCAEL? / GEBZE;V?LLA KAZAN DA?RES? SU DEPOSU H?DROFOR KURULUMU 
KAZAN DA?RES? KURULUMU;ANKARA / G÷LBA?I;?A?MAZ ?N?AAT APART KAZAN DA?RES? KURULUM
KOMPLE MEKAN?K TES?SAT;ANKARA / «ANKAYA /M.KEMAL;ERPA HOLD?NG B?NASI  KOMPLE MEKAN?K TES?SAT ???
KOMPLE MEKAN?K TES?SAT;ANKARA / «ANKAYA / HO?DERE;AK-EV CAM?? KOMPLE MEKAN?K TES?SAT ???
KOMPLE MEKAN?K TES?SAT;ANKARA / «ANKAYA / BEYTEPE;ESK?H?SAR VE GEBER?T MA?AZALARI KOMPLE MEKAN?K TES?SAT
KOMPLE MEKAN?K TES?SAT;SAKARYA / SAPANCA;CASA G?ALLO OTEL KOMPLE MEKAN?K TES?SAT ???
KOMPLE MEKAN?K TES?SAT;ANKARA / KAHRAMANKAZAN ;TES?M. A.?. ?DARE? OF?S B?NASI KOMPLE MEKAN?K TES?SAT ???
KOMPLE MEKAN?K TES?SAT;ANKARA / YEN?MAHALLE / BATIKENT;ALFA ?TR?YAT MED?KAL KOMPLE MEKAN?K TES?SAT 
KOMPLE MEKAN?K TES?SAT;ANKARA / ALTINDA? / HASK÷Y;NEVA TORUN AVM KOMPLE MEKAN?K TES?SAT ???
KOMPLE MEKAN?K TES?SAT;ANKARA  / «ANKAYA / M.KEMAL ;BUTCHA MA?AZA KOMPLE MEKAN?K TES?SAT
KOMPLE MEKAN?K TES?SAT;ANKARA / «ANKAYA / B?LKENT;?ARA GRUP / T‹RK YAPI B?LKENT 3 MAL?KHANE  MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA / «ANKAYA / B?LKENT;?ARA GRUP / T‹RK YAPI B?LKENT 4 MAL?KHANE  MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA / «ANKAYA / B?LKENT;?ARA GRUP / T‹RK YAPI B?LKENT 5 MAL?KHANE  MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA / G÷LBA?I / ?NCEK ;APART 25 KOMPLE MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA / «ANKAYA / M.KEMAL;T‹RK?YE PETROLLER? SAKARYA B?NASI KOMPLE MEKAN?K TES?SAT ???
KOMPLE MEKAN?K TES?SAT;KIRIKKALE / MERKEZ;POD?UM KULE B?NASI ÷RNEK KAT MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;KIRIKKALE / MERKEZ;POD?UM AVM AMF BOWL?NG MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA /YEN?MAHALLE ;POD?UM AVM COL?NS  MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA /YEN?MAHALLE ;POD?UM AVM ?N STREET MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA / TEMELL? ;MATEKS MAK?NA ?DAR? OF?S B?NASI TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA / G÷LBA?I /?NCEK;SINAV FEN KOLEJ? OKUL KOMPLE MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;?STANBUL / BE??KTA?;ZORLU CENTER ERPA HOLD?NG OF?S KOMPLE MEKAN?K ??LER?
KOMPLE MEKAN?K TES?SAT;?STANBUL / BE??KTA?;BARBAROS PLAZA ERPA HOLD?NG OF?S KOMPLE MEKAN?K ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA / ET?MESGUT / BA?LICA;M.B.? ?N?AAT 18 DA?RE + 6 V?LLA KOMPLE MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA / KAHRAMANKAZAN ;NAZIMAY ?N?AAT  KO?AL ?? MERKEZ? KOMPLE MEKAN?K TES?SAT
KOMPLE MEKAN?K TES?SAT;ANKARA / KE«?÷REN;BURGER K?NG DUTLUK ?UBES? KOMPLE MEKAN?K TES?SAT
KOMPLE MEKAN?K TES?SAT;ANKARA / «ANKAYA  / YA?AMKENT;KAYA HOLD?NG NAKKA?EVLER? 3 V?LLA KOMPLE MEKAN?K TES?SAT
KOMPLE MEKAN?K TES?SAT;ANKARA / «ANKAYA / «AYYOLU;QUARTZ «AYYOLU 28 D‹KKAN ?? MERKEZ? KOMPLE MEKAN?K TES?SATI 
KOMPLE MEKAN?K TES?SAT;ANKARA / G÷LBA?I ;V.S.B GRUP MAL?KHANE KOMPLE MEKAN?K TES?SAT ???
KOMPLE MEKAN?K TES?SAT;ANKARA / ET?MESGUT ;ERLER MAHALLES? 2 PARSEL 2 DA?RE KONUT PROJES? KOMPLE MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA / ET?MESGUT ;ERLER MAHALLES? 6 PARSEL 2 DA?RE KONUT PROJES? KOMPLE MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA / ET?MESGUT ;ERLER MAHALLES? 13 PARSEL 2 DA?RE KONUT PROJES? KOMPLE MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA / ET?MESGUT ;ERLER MAHALLES? 10 PARSEL 2 DA?RE KONUT PROJES? KOMPLE MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA / ET?MESGUT ;ERLER MAHALLES? 15 PARSEL 2 DA?RE KONUT PROJES? KOMPLE MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA / ET?MESGUT ;ERLER MAHALLES? 4 PARSEL 2 DA?RE KONUT PROJES? KOMPLE MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA / ET?MESGUT ;ERLER MAHALLES? 14 PARSEL 2 DA?RE KONUT PROJES? KOMPLE MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA / ET?MESGUT ;ERLER MAHALLES? 12 PARSEL 2 DA?RE KONUT PROJES? KOMPLE MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA / BATIKENT;YARGI BASIM YAYIM OF?S B?NASI PROJES? KOMPLE MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA / BATIKENT;YARGI BASIM YAYIM 2.OF?S B?NASI PROJES? KOMPLE MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA / ?NCEK;VERA ?NCEK 3 NOLU V?LLA PROJES? T‹M MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA / ?NCEK;VERA ?NCEK 11 NOLU V?LLA PROJES? T‹M MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA / KAHRAMANKAZAN ;AKTEM ELEKTR?K ?DAR? B?NASI 
KOMPLE MEKAN?K TES?SAT;ANKARA / BATIKENT;RAMAZAN YETG?N V?LLA PROJES? T‹M MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKRA / «ANKAYA ;YA?AMKENT 11 ADET APART KOMPLE MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA / «ANKAYA ;YA?AMKENT 12 ADET APART KOMPLE MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA /«ANKAYA ;F.T. ANGORA V?LLA KOMPLE MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA / «ANKAYA;I.?. BEYSUKENT V?LLA KOMPLE MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA / «ANKAYA;FOR L?FE H?LL NO:1 V?LLA KOMPLE MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA / G÷LBA?I;G÷KHAN DV÷VER G÷LBA?I BALLIKPINAR 2 ADET V?LLA KOMPLE MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA / G÷LBA?I;O.K. V?LLA KOMPLE MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA / YEN?MAHALLE;H‹DAVERD? CAM?? KOMPLE MEKAN?K TES?SAT ??LER?N?N YAPILMASI
KOMPLE MEKAN?K TES?SAT;ANKARA / G÷LBA?I;MAH?R G÷KTA? V?LLA KOMPLE MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA / ET?MESGUT;MAH?R G÷KTA? 2.V?LLA KOMPLE MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA / ET?MESGUT;MAH?R G÷KTA? 3.V?LLA KOMPLE MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA / «ANKAYA;A.C.S. MED?KAL MUSTAFA KEMAL MAHALLES? ?DAR? OF?S B?NASI KOMPLE MEKAN?K TES?SAT ??LER?.
KOMPLE MEKAN?K TES?SAT;ANKARA / YEN?MAHALLE;BEN?M HOCAM YAYIN EV? ?DAR? OF?S? KOMPLE MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA / G÷LBA?I;MEHMET DEVEC? V?LLA KOMPLE MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA / «ANKAYA;÷MER T‹REL? D?? KL???N? KOMPLE MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA / ET?MESGUT;VEN GRUP ?EH?T AL? MAHALLES? V?LLA KOMPLE MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA / G÷LBA?I;?NCEK KONAKLARI 2 ADET V?LLA KOMPLE MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA / G÷LBA?I;E.E. V?LLA KOMPLE MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA / «ANKAYA;T.T.  V?LLA KOMPLE MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA / G÷LBA?I;DOR«E PREFABR?K TULUMTA? «EL?K KONSTR‹KS?YON V?LLA MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA / G÷LBA?I;ZAFER AKG‹N V?LLA KOMPLE MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA / «ANKAYA;TEPE PR?ME BUTCHA RESTAURANT KOMPLE MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA / «ANKAYA;OSMAN «?«EKL? V?LLA KOMPLE MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA / «ANKAYA;A PROJE ?DAR? OF?S B?NASI KOMPLE MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA / «ANKAYA;Y.M V?LLA KOMPLE MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA / «UBUK;L?VA MOB?LYA 2 ADET V?LLA KOMPLE MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA / ?NCEK;VERA ?NCEK 2 NOLU V?LLA PROJES? T‹M MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA / ?NCEK;VERA ?NCEK 17 NOLU V?LLA PROJES? T‹M MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA / «ANKAYA;DORE MUS?C NOKTA ?? MERKEZ? KOMPLE MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA / «ANKAYA;LEVENT «AMUR V?LLA KOMPLE MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA / ALTINDA?;ERPA HOLD?NG VESTEL MA?AZA KOMPLE MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA / «UBUK;ERPA HOLD?NG VESTEL MA?AZA KOMPLE MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA / G÷LBA?I;TOLGA ÷ZTEK?N V?LLA KOMPLE MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA / SARAY;G‹NKA MAK?NA FABR?KA KOMPLE MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA / «ANKAYA;PAR?S KUAF÷R KOMPLE MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA / «ANKAYA;VERA ?NCEK NO:1 KOMPLE MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA / «ANKAYA;VERA ?NCEK  NO:5 KOMPLE MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA / «ANKAYA;VSB ?NCEK V?LLA 2 KOMPLE MEKAN?K TES?SAT ??LER?
SIHHI TES?SAT DE????M?;ANKARA  / «ANKAYA ;SICAK SU VE SO?UK SU BORULARI DE????M ??? 
VRF TES?SATI;ANKARA  / «ANKAYA ;DO?KENT KAHVE D‹NYASI VRF TES?SAT ???
VRF TES?SATI;KONYA / SEL«UKLU;SETREM?S MA?AZA VRF TES?SAT ???
VRF TES?SATI;ANKARA  / G÷LBA?I;VERA ?NCEK NO :3 VRF TES?SAT ??LER?
VRF TES?SATI;ANKARA  / «ANKAYA ;B‹RO T?ME VRF TES?SAT ???
VRF TES?SATI;ANKARA  / «ANKAYA ;ERDEM KRAMER KUAF÷R VRF TES?SAT ??LER?
VRF TES?SATI;ANKARA / ALTINDA?;MEB ANKARA H?ZMET«? E??T?M ENS. M‹D VRF TES?SAT ??LER?
YANGIN TES?SATI;ANKARA / TEMELL? ;EL?T NATURAL FABR?KA KOMPLE YANGIN TES?SATI
YANGIN TES?SATI;ANKARA / «ANKAYA;ANKA REZERVE YANGIN POMPA ODASI KURULUMU 
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
KOMPLE MEKAN?K TES?SAT;ANKARA / ?NCEK;MUSLU SENSE F?VE BULVAR-2 6 NOLU V?LLA T‹M MEKAN?K TES?SAT ??LER?
KOMPLE MEKAN?K TES?SAT;ANKARA / BA?LICA;OZAN L?FE 8 NOLU V?LLA T‹M MEKAN?K TES?SAT ??LER?
;;
DO?ALGAZ TES?SATI;ANKARA / «ANKAYA ;YE??LYURT SOK 3 NOLU APARTMAN DO?ALGAZ TES?SAT ??LER?
